결혼식장,wedding hall,결혼식장이 매우 넓었다.,The wedding hall was very large.,Specific venue for wedding ceremonies
각오,determination; resolve,이번 시험에 대한 각오가 단단하다.,I am firmly determined for this exam.,Mental readiness often before challenges
게다가,additionally; moreover,시간도 없고 게다가 돈도 부족하다.,I have no time and moreover not enough money.,Logical connector adding emphasis
간신히,with difficulty; barely,간신히 마감에 맞췄다.,I barely made the deadline.,Implies effort and near failure
개다,to clear up,비가 오다가 하늘이 갰다.,It rained and then the sky cleared.,Commonly used for weather
거치다,to go through; pass through,여러 단계를 거쳐야 한다.,You must go through several stages.,Process-oriented verb
갈등,conflict; inner conflict,그는 진로 문제로 갈등을 겪었다.,He experienced conflict over his career.,Often psychological or interpersonal
개념,concept; notion,이 개념은 이해하기 어렵다.,This concept is hard to understand.,Abstract academic usage
경우,case; situation,이런 경우에는 조심해야 한다.,In this case you must be careful.,Used for conditions and scenarios
가꾸다,to cultivate; take care of,정원을 정성껏 가꾸었다.,She carefully tended the garden.,Physical and metaphorical use
강수량,precipitation,올해 강수량이 많다.,This year’s precipitation is high.,Weather and climate reports
가입자,subscriber; member,가입자 수가 증가했다.,The number of subscribers increased.,Used for services and platforms
개혁,reform,교육 제도 개혁이 필요하다.,Educational reform is necessary.,Institutional or systemic change
거칠다,rough; harsh,말투가 너무 거칠다.,His way of speaking is too harsh.,Physical or behavioral roughness
감동적,moving; touching,그 영화는 정말 감동적이었다.,That movie was truly moving.,Emotional impact
간편하다,simple; convenient,이 앱은 사용하기 간편하다.,This app is easy to use.,Ease and efficiency
거품,bubble; foam,경제에 거품이 생겼다.,A bubble formed in the economy.,Literal and metaphorical usage
가입,signing up; joining,회원 가입을 완료했다.,I completed the sign-up.,Action noun form
개성,individuality; personality,개성이 뚜렷한 사람이다.,He has a strong personality.,Often positive trait
겁,fear; fright,겁이 나서 말을 못 했다.,I was too scared to speak.,Emotional noun, often internal
